"region,""ålder"",""kön"",""1969"",""1979"",""1989"",""1999"",""2009"",""2019"""
"10 Blekinge län,""95+ år"",""män"",20,24,25,52,51,110"
"10 Blekinge län,""95+ år"",""kvinnor"",31,64,109,143,235,301"
"12 Skåne län,""0-4 år"",""män"",36029,31312,33030,30525,38138,42468"
"12 Skåne län,""0-4 år"",""kvinnor"",34072,29895,31625,28749,35997,40100"
"12 Skåne län,""5-14 år"",""män"",65151,71510,62161,74688,67089,86607"
"12 Skåne län,""5-14 år"",""kvinnor"",62240,67774,59695,71452,63466,82028"
"12 Skåne län,""15-24 år"",""män"",73618,67282,74054,66877,82451,80285"
"12 Skåne län,""15-24 år"",""kvinnor"",71335,65440,70562,65286,81351,75131"
"12 Skåne län,""25-34 år"",""män"",68020,77149,71479,78305,82264,96686"
"12 Skåne län,""25-34 år"",""kvinnor"",63406,74922,68521,76371,79714,95893"
"12 Skåne län,""35-44 år"",""män"",57223,67099,77412,75792,86590,89869"
"12 Skåne län,""35-44 år"",""kvinnor"",56714,64027,75876,73593,83536,87144"
"12 Skåne län,""45-54 år"",""män"",62437,56107,65792,78158,78141,90257"
"12 Skåne län,""45-54 år"",""kvinnor"",63092,57105,64078,77342,76408,87799"
"12 Skåne län,""55-64 år"",""män"",58455,58232,52481,63130,76202,77035"
"12 Skåne län,""55-64 år"",""kvinnor"",61848,61879,56037,63634,77046,76866"
"12 Skåne län,""65-74 år"",""män"",38681,47539,48410,44946,56903,69434"
"12 Skåne län,""65-74 år"",""kvinnor"",46814,56514,57504,52635,59977,72976"
"12 Skåne län,""75-84 år"",""män"",17382,21405,27408,30402,30800,42897"
"12 Skåne län,""75-84 år"",""kvinnor"",25310,33138,42236,44711,41579,49512"
"12 Skåne län,""85-94 år"",""män"",3732,4181,5449,7657,10448,11763"
"12 Skåne län,""85-94 år"",""kvinnor"",5926,8831,13209,17990,20602,19894"
"12 Skåne län,""95+ år"",""män"",106,215,221,297,489,785"
"12 Skåne län,""95+ år"",""kvinnor"",218,494,775,1246,1871,2398"
"13 Hallands län,""0-4 år"",""män"",7447,7458,8360,7798,8891,9849"
"13 Hallands län,""0-4 år"",""kvinnor"",6848,7243,7879,7302,8378,9163"
"13 Hallands län,""5-14 år"",""män"",14227,17754,16080,20013,17611,21440"
"13 Hallands län,""5-14 år"",""kvinnor"",13392,16857,15390,19047,16285,20223"
"13 Hallands län,""15-24 år"",""män"",14830,15605,18384,16217,20342,19587"
"13 Hallands län,""15-24 år"",""kvinnor"",13825,14565,17227,15067,19403,17225"
"13 Hallands län,""25-34 år"",""män"",12604,17119,16357,17518,15461,20742"
"13 Hallands län,""25-34 år"",""kvinnor"",11816,16241,15717,16928,14868,19684"
"13 Hallands län,""35-44 år"",""män"",11417,15189,18760,18581,20416,19556"
"13 Hallands län,""35-44 år"",""kvinnor"",11213,14418,18126,18341,20235,19225"
"13 Hallands län,""45-54 år"",""män"",13047,12371,15581,19297,19517,22334"
"13 Hallands län,""45-54 år"",""kvinnor"",12206,12167,14882,18967,19488,22148"
"13 Hallands län,""55-64 år"",""män"",12163,13011,12020,15465,19511,19829"
"13 Hallands län,""55-64 år"",""kvinnor"",11926,12778,12447,15353,19596,20014"
"13 Hallands län,""65-74 år"",""män"",8571,10588,11628,11100,14863,18814"
"13 Hallands län,""65-74 år"",""kvinnor"",9313,11392,12539,12334,15288,19469"
"13 Hallands län,""75-84 år"",""män"",3871,4972,6561,7828,8096,11861"
"13 Hallands län,""75-84 år"",""kvinnor"",4968,6726,8709,10150,10275,13179"
"13 Hallands län,""85-94 år"",""män"",754,935,1387,1974,2798,3252"
"13 Hallands län,""85-94 år"",""kvinnor"",1048,1702,2717,3920,4952,5400"
"13 Hallands län,""95+ år"",""män"",22,31,44,86,147,236"
"13 Hallands län,""95+ år"",""kvinnor"",38,89,164,251,404,618"
"14 Västra Götalands län,""0-4 år"",""män"",52034,41894,47272,41054,47414,52009"
"14 Västra Götalands län,""0-4 år"",""kvinnor"",49164,39826,44527,38974,44842,48766"
"14 Västra Götalands län,""5-14 år"",""män"",93481,98390,83350,102156,85603,105126"
